name,free_bikes,empty_slots,slots,altitude,ebikes,has_ebikes,normal_bikes,payment,payment-terminal,renting,returning,uid,last_updated,address,timestamp,latitude,longitude,id
Queen St E / Woodward Ave,12,6,19,0.0,0,True,12,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7303,1670103614,Queen St E / Woodward Ave,2022-12-03T21:42:40.239000Z,43.665269,-79.319796,fb337bbed72e2be090071e199899b2be
Primrose Ave / Davenport Rd,7,7,15,0.0,0,True,7,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7301,1670103564,Primrose Ave / Davenport Rd,2022-12-03T21:42:40.242000Z,43.67142,-79.445947,4ff88d5880e71aa40d34cfe5d09b0ca7
Queen St. E / Rhodes Ave.,10,12,23,0.0,0,True,10,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7309,1670103648,Queen St. E / Rhodes Ave.,2022-12-03T21:42:40.243000Z,43.666224,-79.317693,a09c67c0b419654d907c9134b108e328
Bond St / Queen St E,14,10,25,0.0,0,True,14,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7045,1670103600,Bond St / Queen St E,2022-12-03T21:42:40.249000Z,43.653236,-79.376716,d6a9daee68070a8b106cfb598d81308c
Church St / Alexander St,1,11,15,0.0,0,True,1,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7044,1670103639,Church St / Alexander St,2022-12-03T21:42:40.250000Z,43.663722,-79.380288,8f8af40d9388c8a3962559e8681d3db7
University Ave / Gerrard St W (East Side),2,23,25,0.0,0,True,2,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7047,1670103669,University Ave / Gerrard St W,2022-12-03T21:42:40.252000Z,43.657763,-79.389165,5a441560e262305d1934fb3ada5a9517
Edward St / Yonge St,2,19,22,,0,True,2,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7041,1670103605,Edward St / Yonge St,2022-12-03T21:42:40.254000Z,43.656729,-79.382736,18ea490ab3ca4d10e2927308416edbef
Euclid Ave / Bloor St W,6,11,19,0.0,0,True,6,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7040,1670103538,Euclid Ave / Bloor St W,2022-12-03T21:42:40.255000Z,43.664467,-79.414783,b7850948607474362d3728f19a77fdff
Yonge St / Aylmer Ave,4,11,15,0.0,0,True,4,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7128,1670103626,Yonge St / Aylmer Ave,2022-12-03T21:42:40.258000Z,43.675492,-79.388858,7ffd06e0207f80fe1ff6b5ae0bb0544c
Davenport Rd / Avenue Rd,5,6,11,0.0,0,True,5,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7129,1670103648,Davenport Rd / Avenue Rd,2022-12-03T21:42:40.258000Z,43.674991,-79.396273,17fadbdc5848036c8485099bbf517294
Yonge St / Yorkville Ave,1,13,17,0.0,0,True,1,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7126,1670103576,Yonge St / Yorkville Ave,2022-12-03T21:42:40.259000Z,43.671944,-79.387778,843dcb87ce2ddb002d2b2900a5418355
Dundas St E / Broadview Ave,17,1,19,0.0,0,True,17,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7124,1670103510,Dundas St E / Broadview Ave,2022-12-03T21:42:40.261000Z,43.662365,-79.351104,438406694750984faa317bc6b1f3f909
Front St W / Yonge St (Hockey Hall of Fame),18,0,18,0.0,0,True,18,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7048,1670103646,Front St W / Yonge St (Hockey Hall of Fame),2022-12-03T21:42:40.266000Z,43.646144,-79.377962,41c3e6d3bf3bd993e7d56e22084ab5ee
Gerrard St E / River St,9,1,11,0.0,0,True,9,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7120,1670103601,Gerrard St E / River St,2022-12-03T21:42:40.267000Z,43.663993,-79.358534,c95712a6fe0babf73cb9da2c05889749
Jarvis St / Dundas St E,3,23,27,0.0,0,True,3,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7121,1670103615,Jarvis St / Dundas St E,2022-12-03T21:42:40.268000Z,43.657266,-79.374756,2aedc79960408d746f43fb1d91bf7030
Logan Av / Gerrard St E,11,3,15,0.0,0,True,11,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7346,1670103560,Logan Av / Gerrard St E,2022-12-03T21:42:40.297000Z,43.6672144,-79.3452697,784016bbba7f7be920647e7f8ec00251
Regal Rd / Dufferin St,2,13,15,0.0,0,True,2,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7347,1670103694,Regal Rd / Dufferin St,2022-12-03T21:42:40.298000Z,43.673939,-79.441159,77f9f2420581968255251d9f26c78024
Morse St / Eastern Ave,10,1,11,0.0,0,True,10,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7342,1670103627,Morse St / Eastern Ave,2022-12-03T21:42:40.300000Z,43.657991,-79.340075,7461a94289f2956b380e5b7684b56a1e
Alton Ave / Dundas St E (Greenwood Park),21,2,23,0.0,0,True,21,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7343,1670103615,Alton Ave / Dundas St E (Greenwood Park),2022-12-03T21:42:40.301000Z,43.66745,-79.329408,69dc0257a4d3a1dcd5af06dc3b4eed8c
