name,free_bikes,empty_slots,slots,altitude,ebikes,has_ebikes,normal_bikes,payment,payment-terminal,renting,returning,uid,last_updated,address,timestamp,latitude,longitude,id
Queen St E / Woodward Ave,18,1,19,0.0,0,True,18,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7303,1670237878,Queen St E / Woodward Ave,2022-12-05T10:59:11.198000Z,43.665269,-79.319796,fb337bbed72e2be090071e199899b2be
Primrose Ave / Davenport Rd,6,8,15,0.0,0,True,6,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7301,1670237799,Primrose Ave / Davenport Rd,2022-12-05T10:59:11.199000Z,43.67142,-79.445947,4ff88d5880e71aa40d34cfe5d09b0ca7
Queen St. E / Rhodes Ave.,9,13,23,0.0,0,True,9,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7309,1670237930,Queen St. E / Rhodes Ave.,2022-12-05T10:59:11.200000Z,43.666224,-79.317693,a09c67c0b419654d907c9134b108e328
Bond St / Queen St E,7,16,25,0.0,0,True,7,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7045,1670237869,Bond St / Queen St E,2022-12-05T10:59:11.206000Z,43.653236,-79.376716,d6a9daee68070a8b106cfb598d81308c
Church St / Alexander St,7,5,15,0.0,1,True,6,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7044,1670237823,Church St / Alexander St,2022-12-05T10:59:11.207000Z,43.663722,-79.380288,8f8af40d9388c8a3962559e8681d3db7
University Ave / Gerrard St W (East Side),1,24,25,0.0,0,True,1,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7047,1670237933,University Ave / Gerrard St W,2022-12-05T10:59:11.208000Z,43.657763,-79.389165,5a441560e262305d1934fb3ada5a9517
Edward St / Yonge St,2,20,22,,0,True,2,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7041,1670237727,Edward St / Yonge St,2022-12-05T10:59:11.209000Z,43.656729,-79.382736,18ea490ab3ca4d10e2927308416edbef
Euclid Ave / Bloor St W,3,15,19,0.0,0,True,3,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7040,1670237877,Euclid Ave / Bloor St W,2022-12-05T10:59:11.210000Z,43.664467,-79.414783,b7850948607474362d3728f19a77fdff
Yonge St / Aylmer Ave,2,13,15,0.0,0,True,2,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7128,1670237797,Yonge St / Aylmer Ave,2022-12-05T10:59:11.211000Z,43.675492,-79.388858,7ffd06e0207f80fe1ff6b5ae0bb0544c
Davenport Rd / Avenue Rd,4,7,11,0.0,0,True,4,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7129,1670237871,Davenport Rd / Avenue Rd,2022-12-05T10:59:11.212000Z,43.674991,-79.396273,17fadbdc5848036c8485099bbf517294
Yonge St / Yorkville Ave,1,13,17,0.0,0,True,1,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7126,1670237885,Yonge St / Yorkville Ave,2022-12-05T10:59:11.213000Z,43.671944,-79.387778,843dcb87ce2ddb002d2b2900a5418355
Dundas St E / Broadview Ave,12,6,19,0.0,0,True,12,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7124,1670237739,Dundas St E / Broadview Ave,2022-12-05T10:59:11.215000Z,43.662365,-79.351104,438406694750984faa317bc6b1f3f909
Front St W / Yonge St (Hockey Hall of Fame),4,14,18,0.0,0,True,4,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7048,1670237885,Front St W / Yonge St (Hockey Hall of Fame),2022-12-05T10:59:11.217000Z,43.646144,-79.377962,41c3e6d3bf3bd993e7d56e22084ab5ee
Gerrard St E / River St,6,4,11,0.0,0,True,6,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7120,1670237736,Gerrard St E / River St,2022-12-05T10:59:11.218000Z,43.663993,-79.358534,c95712a6fe0babf73cb9da2c05889749
Jarvis St / Dundas St E,14,12,27,0.0,0,True,14,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7121,1670237866,Jarvis St / Dundas St E,2022-12-05T10:59:11.219000Z,43.657266,-79.374756,2aedc79960408d746f43fb1d91bf7030
Logan Av / Gerrard St E,13,2,15,0.0,0,True,13,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7346,1670237943,Logan Av / Gerrard St E,2022-12-05T10:59:11.241000Z,43.6672144,-79.3452697,784016bbba7f7be920647e7f8ec00251
Regal Rd / Dufferin St,1,14,15,0.0,0,True,1,"['key', 'transitcard', 'creditcard', 'phone']",True,1,1,7347,1670237886,Regal Rd / Dufferin St,2022-12-05T10:59:11.242000Z,43.673939,-79.441159,77f9f2420581968255251d9f26c78024
