latitude,longitude,lat-long
43.588765,-79.540223,"43.5880774,-79.5432067"
43.589249,-79.544292,"43.591561,-79.545827"
43.592446,-79.541542,"43.5927419,-79.54033009999999"
43.593011,-79.538952,"43.5927419,-79.54033009999999"
43.593156,-79.538508,"43.5927419,-79.54033009999999"
43.596797,-79.524156,"43.597082,-79.522768"
43.596991,-79.51849,"43.5961692,-79.5160575"
43.597169,-79.522162,"43.597082,-79.522768"
43.597479,-79.520998,"43.597082,-79.522768"
43.597751,-79.519594,"43.5961692,-79.5160575"
43.599511,-79.511707,"43.6002896,-79.5108692"
43.600537,-79.506923,"43.6002896,-79.5108692"
43.601917,-79.510275,"43.6002896,-79.5108692"
43.61207,-79.500427,"43.612063,-79.496573"
43.612903,-79.49902,"43.612063,-79.496573"
43.613898,-79.489809,"43.613606,-79.4883535"
43.614288,-79.489341,"43.6146692,-79.4873148"
43.614512,-79.488583,"43.613606,-79.4883535"
43.614571,-79.488545,"43.613606,-79.4883535"
43.614935,-79.498088,"43.6162721,-79.4990363"
43.615157,-79.488967,"43.6146692,-79.4873148"
43.615508,-79.494116,"43.6171635,-79.4971065"
43.616047,-79.488316,"43.6146692,-79.4873148"
43.616746,-79.487962,"43.61868,-79.48674"
43.617602,-79.49922,"43.6171635,-79.4971065"
43.618376,-79.500139,"43.6171635,-79.4971065"
43.618376,-79.500139,"43.6162721,-79.4990363"
43.619112,-79.498529,"43.6162721,-79.4990363"
43.619625,-79.485437,"43.61868,-79.48674"
43.619632,-79.485345,"43.61868,-79.48674"
43.620579,-79.492319,"43.62313,-79.4918"
43.622396,-79.482099,"43.6224434,-79.480284"
43.622645,-79.481766,"43.62369169999999,-79.4838132"
43.622921,-79.483352,"43.62369169999999,-79.4838132"
43.622971,-79.481912,"43.62369169999999,-79.4838132"
43.623009,-79.483898,"43.6224434,-79.480284"
43.623242,-79.480507,"43.6224434,-79.480284"
43.624237,-79.489125,"43.62313,-79.4918"
43.624742,-79.495234,"43.62313,-79.4918"
43.626864,-79.478568,"43.626265,-79.476723"
43.627419,-79.478657,"43.626265,-79.476723"
43.627444,-79.476792,"43.626265,-79.476723"
43.628054,-79.419322,"43.630254,-79.420317"
43.629212,-79.414975,"43.63121,-79.41414"
43.629222,-79.41021,"43.6322445,-79.4108105"
43.630286,-79.483185,"43.630874,-79.482407"
43.63063,-79.483848,"43.630874,-79.482407"
43.630714,-79.481946,"43.630874,-79.482407"
43.632383,-79.422204,"43.633473,-79.425679"
43.632534,-79.421767,"43.633473,-79.425679"
43.632843,-79.420602,"43.630254,-79.420317"
43.63292,-79.396407,"43.635023,-79.399505"
43.633044,-79.421533,"43.6352007,-79.4187711"
43.633494,-79.470056,"43.6308933,-79.4722622"
43.633565,-79.472919,"43.6308933,-79.4722622"
43.634424,-79.42894,"43.633473,-79.425679"
43.634539,-79.412555,"43.6334636,-79.4143057"
43.634652,-79.401918,"43.635495,-79.40352209999999"
