latitude,longitude,lat-long
43.59225,-79.542423,"43.5927419,-79.54033009999999"
43.593776,-79.540757,"43.5927419,-79.54033009999999"
43.596386,-79.524416,"43.597082,-79.522768"
43.596399,-79.524232,"43.597082,-79.522768"
43.599943,-79.513458,"43.6002896,-79.5108692"
43.602091,-79.510957,"43.6002896,-79.5108692"
43.61106,-79.49279,"43.612063,-79.496573"
43.613582,-79.489787,"43.613606,-79.4883535"
43.614288,-79.489341,"43.613606,-79.4883535"
43.614548,-79.494194,"43.612063,-79.496573"
43.614818,-79.489006,"43.6146692,-79.4873148"
43.614935,-79.498088,"43.6171635,-79.4971065"
43.616803,-79.48643,"43.61868,-79.48674"
43.617681,-79.487459,"43.6146692,-79.4873148"
43.618671,-79.497664,"43.6162721,-79.4990363"
43.618698,-79.499584,"43.6162721,-79.4990363"
43.619157,-79.498677,"43.6171635,-79.4971065"
43.619632,-79.485345,"43.61868,-79.48674"
43.620469,-79.492271,"43.62313,-79.4918"
43.620497,-79.492174,"43.62313,-79.4918"
43.622396,-79.482099,"43.62369169999999,-79.4838132"
43.623242,-79.480507,"43.62369169999999,-79.4838132"
43.623457,-79.478726,"43.6224434,-79.480284"
43.624327,-79.480261,"43.6224434,-79.480284"
43.626932,-79.478738,"43.626265,-79.476723"
43.626969,-79.478678,"43.626265,-79.476723"
43.629754,-79.482025,"43.630874,-79.482407"
43.630153,-79.417461,"43.630254,-79.420317"
43.63058,-79.480709,"43.630874,-79.482407"
43.632742,-79.418903,"43.630254,-79.420317"
43.634177,-79.410768,"43.6334636,-79.4143057"
43.634595,-79.401161,"43.635023,-79.399505"
43.634868,-79.429011,"43.633473,-79.425679"
43.635684,-79.401615,"43.635023,-79.399505"
43.635684,-79.401615,"43.635495,-79.40352209999999"
43.635691,-79.401523,"43.635495,-79.40352209999999"
43.635746,-79.427749,"43.633473,-79.425679"
43.636297,-79.414798,"43.6334636,-79.4143057"
43.636364,-79.404621,"43.637381,-79.406112"
43.636496,-79.425159,"43.637981,-79.424146"
43.636616,-79.469578,"43.63632,-79.47307"
43.636738,-79.397156,"43.635492,-79.398253"
43.636809,-79.397729,"43.635492,-79.398253"
43.636859,-79.42017,"43.6352007,-79.4187711"
43.636934,-79.424048,"43.637981,-79.424146"
43.63694,-79.397469,"43.636533,-79.395854"
43.63694,-79.397469,"43.63811,-79.397877"
43.63697,-79.420187,"43.6352007,-79.4187711"
43.637014,-79.399537,"43.636611,-79.400042"
43.637112,-79.405909,"43.635,-79.4088888888889"
43.637415,-79.394787,"43.636533,-79.395854"
43.637449,-79.400495,"43.63811,-79.397877"
43.637508,-79.400457,"43.636611,-79.400042"
43.637643,-79.391646,"43.640114,-79.393249"
43.637702,-79.384645,"43.63796,-79.387502"
43.637775,-79.397556,"43.639052,-79.399792"
43.637848,-79.418926,"43.638925,-79.4168659"
43.638057,-79.470604,"43.63632,-79.47307"
43.638154,-79.390792,"43.638497,-79.39192"
43.638161,-79.3907,"43.638497,-79.39192"
43.638212,-79.42548,"43.6394444,-79.42527777777778"
43.638215,-79.409263,"43.637381,-79.406112"
43.638216,-79.417723,"43.6366666666667,-79.4197222222222"
43.638304,-79.384086,"43.63951,-79.383717"
43.638323,-79.425498,"43.638426,-79.429142"
43.638574,-79.382681,"43.640132,-79.380464"
43.638636,-79.398067,"43.639832,-79.395954"
43.63864,-79.411901,"43.636804,-79.408832"
43.638887,-79.421616,"43.639444,-79.423611"
43.639058,-79.44389,"43.636731,-79.444966"
43.639061,-79.445387,"43.6372958,-79.4423237"
43.639086,-79.417347,"43.6366666666667,-79.4197222222222"
43.639086,-79.417347,"43.640885,-79.416379"
43.639142,-79.386463,"43.63796,-79.387502"
43.639253,-79.386481,"43.641529,-79.386741"
43.639311,-79.409625,"43.636804,-79.408832"
43.639329,-79.419396,"43.638925,-79.4168659"
43.639365,-79.443519,"43.636731,-79.444966"
43.639446,-79.380716,"43.640132,-79.380464"
43.639465,-79.442927,"43.6372958,-79.4423237"
43.639481,-79.426089,"43.638426,-79.429142"
43.639533,-79.418915,"43.63840090000001,-79.4197107"
43.639578,-79.415977,"43.640075,-79.414156"
43.639595,-79.431918,"43.637922,-79.431734"
43.639766,-79.397966,"43.639179,-79.399595"
43.639802,-79.421388,"43.63840090000001,-79.4197107"
43.63986,-79.421351,"43.639444,-79.423611"
43.639888,-79.408642,"43.6392777,-79.4115736"
43.639921,-79.440523,"43.640255,-79.439223"
43.639968,-79.381267,"43.63951,-79.383717"
43.639984,-79.438898,"43.63985,-79.43703"
43.640048,-79.428018,"43.6394444,-79.42527777777778"
43.640056,-79.379271,"43.64191,-79.378325"
43.640144,-79.43997,"43.6393107,-79.4408141"
43.640311,-79.432874,"43.637922,-79.431734"
43.640343,-79.438581,"43.6393107,-79.4408141"
43.640368,-79.390444,"43.640114,-79.393249"
43.640377,-79.446579,"43.6397,-79.44865"
43.640429,-79.438175,"43.640255,-79.439223"
43.64054,-79.446652,"43.6397,-79.44865"
43.640596,-79.401523,"43.639052,-79.399792"
43.640599,-79.438155,"43.63985,-79.43703"
43.640773,-79.436547,"43.640634,-79.435841"
43.640776,-79.39565,"43.639832,-79.395954"
43.6408,-79.401603,"43.6399714,-79.39940399999999"
43.640874,-79.402023,"43.641389,-79.404444"
43.640903,-79.410113,"43.6392777,-79.4115736"
43.64093,-79.393525,"43.640722,-79.391051"
43.64093,-79.393525,"43.6428899,-79.3946346"
43.640982,-79.376567,"43.640978,-79.376785"
43.641002,-79.400519,"43.639179,-79.399595"
43.641136,-79.434642,"43.640634,-79.435841"
43.641137,-79.473765,"43.6390437,-79.4760109"
43.641339,-79.377839,"43.64215,-79.377"
43.641357,-79.414673,"43.640075,-79.414156"
43.641364,-79.41458,"43.640885,-79.416379"
43.641445,-79.431186,"43.6424558,-79.4296346"
43.641579,-79.389235,"43.640722,-79.391051"
43.641613,-79.476459,"43.6390437,-79.4760109"
43.641639,-79.423131,"43.6423847,-79.4240277"
43.641668,-79.409269,"43.6417852,-79.4131148"
