,free_bikes,empty_slots,slots,altitude,ebikes,has_ebikes,normal_bikes,renting,returning,uid,Updated,lat-long
0,19,0,19,0.0,0,True,19,1,1,7303,1824h,"43.665269,-79.319796"
1,5,9,15,0.0,0,True,5,1,1,7301,1824h,"43.67142,-79.445947"
2,10,12,23,0.0,0,True,10,1,1,7309,1824h,"43.666224,-79.317693"
3,5,19,25,0.0,0,True,5,1,1,7045,1824h,"43.653236,-79.376716"
4,0,12,15,0.0,0,True,0,1,1,7044,1824h,"43.663722,-79.380288"
5,24,1,25,0.0,1,True,23,1,1,7047,1824h,"43.657763,-79.389165"
6,2,20,22,,0,True,2,1,1,7041,1824h,"43.656729,-79.382736"
7,1,17,19,0.0,0,True,1,1,1,7040,1824h,"43.664467,-79.414783"
8,0,15,15,0.0,0,True,0,1,1,7128,1824h,"43.675492,-79.388858"
9,0,11,11,0.0,0,True,0,1,1,7129,1824h,"43.674991,-79.396273"
10,1,13,17,0.0,0,True,1,1,1,7126,1824h,"43.671944,-79.387778"
11,12,6,19,0.0,0,True,12,1,1,7124,1824h,"43.662365,-79.351104"
12,18,0,18,0.0,0,True,18,1,1,7048,1824h,"43.646144,-79.377962"
13,9,1,11,0.0,0,True,9,1,1,7120,1824h,"43.663993,-79.358534"
14,1,25,27,0.0,0,True,1,1,1,7121,1824h,"43.657266,-79.374756"
15,12,3,15,0.0,0,True,12,1,1,7346,1824h,"43.6672144,-79.3452697"
16,0,15,15,0.0,0,True,0,1,1,7347,1824h,"43.673939,-79.441159"
17,10,1,11,0.0,0,True,10,1,1,7342,1824h,"43.657991,-79.340075"
18,14,9,23,0.0,0,True,14,1,1,7343,1824h,"43.66745,-79.329408"
19,6,9,15,0.0,0,True,6,1,1,7340,1824h,"43.672453,-79.338259"
20,12,3,15,0.0,0,True,12,1,1,7341,1824h,"43.6592088,-79.3348396"
21,3,20,23,0.0,0,True,3,1,1,7349,1824h,"43.689211,-79.35438"
22,13,1,14,0.0,0,True,13,1,1,7269,1824h,"43.655431,-79.380653"
23,14,2,16,0.0,0,True,14,1,1,7268,1824h,"43.656927,-79.378497"
24,5,6,12,0.0,0,True,5,1,1,7265,1824h,"43.661324,-79.449534"
25,1,14,16,0.0,0,True,1,1,1,7267,1824h,"43.658295,-79.372346"
26,12,8,20,0.0,0,True,12,1,1,7266,1824h,"43.6940155,-79.2889842"
27,3,12,16,0.0,0,True,3,1,1,7262,1824h,"43.6809164,-79.4229684"
28,9,5,15,0.0,0,True,9,1,1,7379,1824h,"43.6910667,-79.39535"
29,0,14,15,0.0,0,True,0,1,1,7378,1824h,"43.6975969,-79.39654"
30,16,17,35,0.0,0,True,16,1,1,7000,1824h,"43.639832,-79.395954"
31,4,11,15,,0,True,4,1,1,7003,1824h,"43.667158,-79.402761"
32,13,5,19,0.0,0,True,13,1,1,7002,1824h,"43.667333,-79.399429"
33,16,2,19,0.0,0,True,16,1,1,7005,1824h,"43.6480008,-79.383177"
34,8,3,11,,0,True,8,1,1,7004,1824h,"43.656518,-79.389099"
35,9,8,19,0.0,0,True,9,1,1,7007,1824h,"43.658148,-79.398167"
36,2,14,16,0.0,0,True,2,1,1,7279,1824h,"43.687999,-79.38906"
37,4,23,27,0.0,0,True,4,1,1,7175,1824h,"43.63796,-79.387502"
38,15,0,15,0.0,0,True,15,1,1,7174,1824h,"43.6563889,-79.45166666666667"
39,12,7,19,0.0,0,True,12,1,1,7176,1824h,"43.639179,-79.399595"
40,19,7,27,0.0,1,True,18,1,1,7171,1824h,"43.6322445,-79.4108105"
41,14,0,15,0.0,0,True,14,1,1,7170,1824h,"43.6616667,-79.40138888888889"
42,0,19,19,0.0,0,True,0,1,1,7173,1824h,"43.66666667,-79.45833333333334"
43,13,1,15,0.0,0,True,13,1,1,7178,1824h,"43.657192,-79.452559"
44,1,9,11,0.0,1,True,0,1,1,7078,1824h,"43.6576,-79.4032"
45,2,13,17,0.0,0,True,2,1,1,7079,1824h,"43.660694,-79.379052"
46,25,0,27,0.0,0,True,25,1,1,7075,1824h,"43.636533,-79.395854"
47,48,6,56,0.0,0,True,48,1,1,7076,1824h,"43.640132,-79.380464"
48,15,3,19,0.0,0,True,15,1,1,7077,1824h,"43.659777,-79.382767"
49,10,0,11,0.0,0,True,10,1,1,7070,1824h,"43.643667,-79.380414"
50,0,23,23,0.0,0,True,0,1,1,7071,1824h,"43.666233,-79.373327"
51,17,4,23,0.0,0,True,17,1,1,7073,1824h,"43.640114,-79.393249"
52,18,5,23,0.0,0,True,18,1,1,7188,1824h,"43.6366666666667,-79.4197222222222"
53,10,4,15,0.0,0,True,10,1,1,7189,1824h,"43.653766,-79.4016759"
54,14,8,23,0.0,0,True,14,1,1,7180,1824h,"43.6587734,-79.443054"
55,6,9,15,0.0,0,True,6,1,1,7181,1824h,"43.6538888888889,-79.4413888888889"
56,8,10,19,0.0,0,True,8,1,1,7182,1824h,"43.6508333333333,-79.4430555555556"
57,4,11,15,0.0,0,True,4,1,1,7183,1824h,"43.651238,-79.43868"
58,3,8,11,0.0,0,True,3,1,1,7184,1824h,"43.6544915,-79.422634"
59,2,17,19,0.0,0,True,2,1,1,7221,1824h,"43.6543604,-79.4655296"
60,6,13,19,0.0,0,True,6,1,1,7220,1824h,"43.635932,-79.465083"
61,9,1,12,0.0,0,True,9,1,1,7223,1824h,"43.654501,-79.460053"
62,5,21,27,0.0,0,True,5,1,1,7222,1824h,"43.637894,-79.454823"
63,5,13,19,0.0,0,True,5,1,1,7225,1824h,"43.634896,-79.467763"
64,7,11,19,0.0,0,True,7,1,1,7224,1824h,"43.6535269,-79.4650569"
65,16,14,31,0.0,0,True,16,1,1,7227,1824h,"43.6314,-79.4304"
66,8,9,19,0.0,0,True,8,1,1,7226,1824h,"43.636731,-79.444966"
67,11,1,12,0.0,0,True,11,1,1,7229,1824h,"43.6534268,-79.4512787"
68,5,11,16,0.0,0,True,5,1,1,7380,1824h,"43.7112153,-79.39894"
69,15,0,15,0.0,0,True,15,1,1,7386,1824h,"43.655227,-79.39201"
70,0,10,12,0.0,0,True,0,1,1,7387,1824h,"43.685167,-79.34962"
71,6,6,12,0.0,0,True,6,1,1,7384,1824h,"43.6704537,-79.39014"
72,0,22,22,0.0,0,True,0,1,1,7385,1824h,"43.6691099,-79.38551"
73,12,3,15,0.0,0,True,12,1,1,7122,1824h,"43.641389,-79.404444"
74,14,0,15,0.0,0,True,14,1,1,7123,1824h,"43.643834,-79.396649"
75,3,16,19,0.0,0,True,3,1,1,7257,1824h,"43.6545174,-79.3895315"
76,0,18,18,0.0,0,True,0,1,1,7252,1824h,"43.665846,-79.404998"
77,10,2,12,0.0,1,True,9,1,1,7253,1824h,"43.6461,-79.3895"
78,7,3,11,0.0,0,True,7,1,1,7315,1824h,"43.671349,-79.29451"
79,11,4,15,0.0,0,True,11,1,1,7314,1824h,"43.667208,-79.312315"
80,7,12,19,0.0,0,True,7,1,1,7317,1824h,"43.669328,-79.288949"
81,6,8,15,0.0,0,True,6,1,1,7316,1824h,"43.672571,-79.289"
82,14,5,19,0.0,0,True,14,1,1,7259,1824h,"43.638497,-79.39192"
83,12,3,15,0.0,0,True,12,1,1,7313,1824h,"43.662771,-79.315223"
84,1,10,11,0.0,0,True,1,1,1,7312,1824h,"43.66852,-79.363525"
85,8,7,15,0.0,0,True,8,1,1,7032,1824h,"43.652473,-79.401456"
86,21,0,23,0.0,1,True,20,1,1,7035,1824h,"43.643975,-79.419576"
