lat-long,name,distance,latitude,longitude,price,is_open,rating,rating_count,my_timestamp,cat1_title,cat2_title,cat3_title
"43.665269,-79.319796",The Burger's Priest,374.2,43.666699590075,-79.3155846030585,2.0,True,3.5,498,2022-12-05 11:45:56.457144-05:00,Burgers,,
"43.665269,-79.319796",Chick-N-Joy,125.5,43.66509,-79.32132,1.0,True,4.0,54,2022-12-05 11:45:56.457151-05:00,Chicken Shop,,
"43.665269,-79.319796",O Sushi,277.6,43.66654,-79.31693,2.0,True,4.0,57,2022-12-05 11:45:56.457153-05:00,Burgers,,
"43.665269,-79.319796",Jaclyn's,172.4,43.66627,-79.31802,3.0,True,4.5,14,2022-12-05 11:45:56.457155-05:00,Canadian (New),,
"43.665269,-79.319796",Burrito Bandidos,286.2,43.6665611,-79.3164215,2.0,True,3.5,57,2022-12-05 11:45:56.457157-05:00,Japanese,Sushi Bars,Tapas/Small Plates
"43.665269,-79.319796",Dulcinella,308.9,43.66665,-79.3165,3.0,True,5.0,7,2022-12-05 11:45:56.457159-05:00,Ramen,Noodles,
"43.665269,-79.319796",McDonald's,64.2,43.6650808,-79.3192955,1.0,True,2.5,22,2022-12-05 11:45:56.457160-05:00,Chinese,Noodles,
"43.665269,-79.319796",Rice Rice Baby,199.8,43.667009,-79.3204135,3.0,True,5.0,2,2022-12-05 11:45:56.457162-05:00,Bakeries,Korean,
"43.665269,-79.319796",Butter Chicken Roti,269.9,43.6663972918034,-79.316825196147,3.0,True,2.5,13,2022-12-05 11:45:56.457164-05:00,Sandwiches,,
"43.665269,-79.319796",Simple Coffee,377.7,43.66681639999999,-79.3156156,3.0,True,4.5,2,2022-12-05 11:45:56.457166-05:00,Seafood,,
"43.665269,-79.319796",Ashbridge Estate,235.5,43.66527,-79.32273,3.0,True,5.0,1,2022-12-05 11:45:56.457168-05:00,Tapas/Small Plates,Pizza,Desserts
"43.665269,-79.319796",Pizza Nova,300.1,43.6665095828238,-79.3164825439453,3.0,True,2.5,3,2022-12-05 11:45:56.457169-05:00,Breakfast & Brunch,Mexican,
"43.665269,-79.319796",Ashbridges Bay Skate Park,393.9,43.6627803414137,-79.3163108825684,3.0,True,3.5,2,2022-12-05 11:45:56.457171-05:00,Museums,,
"43.665269,-79.319796",Jonathan Ashbridge Park,73.3,43.6653786,-79.3198166,3.0,True,2.0,1,2022-12-05 11:45:56.457173-05:00,Dog Parks,Swimming Pools,
"43.665269,-79.319796",Pachira Asian Cuisine,270.5,43.66649,-79.31686,1.0,True,1.0,1,2022-12-05 11:45:56.457174-05:00,Ramen,Noodles,
"43.67142,-79.445947",Love Chix,292.3,43.6696641,-79.4486514,2.0,True,3.5,46,2022-12-05 11:45:56.786327-05:00,Burgers,,
"43.67142,-79.445947",Balzac's Coffee Roasters,261.7,43.670364,-79.448855,2.0,True,4.0,17,2022-12-05 11:45:56.786335-05:00,Chicken Shop,,
"43.67142,-79.445947",Century Park Tavern,299.6,43.6696641,-79.44877238227583,3.0,True,4.0,1,2022-12-05 11:45:56.786337-05:00,Burgers,,
"43.67142,-79.445947",The Morning Star Restaurant,384.7,43.66923,-79.4422,1.0,True,2.5,2,2022-12-05 11:45:56.786340-05:00,Canadian (New),,
"43.666224,-79.317693",The Burger's Priest,177.6,43.666699590075,-79.3155846030585,2.0,True,3.5,498,2022-12-05 11:45:57.198737-05:00,Burgers,,
"43.666224,-79.317693",O Sushi,78.6,43.66654,-79.31693,2.0,True,4.0,57,2022-12-05 11:45:57.198747-05:00,Chicken Shop,,
"43.666224,-79.317693",Casa Di Giorgios,211.8,43.6668499,-79.31518,2.0,True,4.0,71,2022-12-05 11:45:57.198749-05:00,Burgers,,
"43.666224,-79.317693",British Style Fish & Chips,269.5,43.66861,-79.31723,1.0,True,4.0,51,2022-12-05 11:45:57.198752-05:00,Canadian (New),,
"43.666224,-79.317693",Jaclyn's,29.3,43.66627,-79.31802,3.0,True,4.5,14,2022-12-05 11:45:57.198754-05:00,Japanese,Sushi Bars,Tapas/Small Plates
"43.666224,-79.317693",Burrito Bandidos,98.6,43.6665611,-79.3164215,2.0,True,3.5,57,2022-12-05 11:45:57.198757-05:00,Ramen,Noodles,
"43.666224,-79.317693",Chick-N-Joy,319.9,43.66509,-79.32132,1.0,True,4.0,54,2022-12-05 11:45:57.198759-05:00,Chinese,Noodles,
"43.666224,-79.317693",Dulcinella,109.5,43.66665,-79.3165,3.0,True,5.0,7,2022-12-05 11:45:57.198761-05:00,Bakeries,Korean,
"43.666224,-79.317693",Butter Chicken Roti,72.4,43.6663972918034,-79.316825196147,3.0,True,2.5,13,2022-12-05 11:45:57.198764-05:00,Sandwiches,,
"43.666224,-79.317693",McDonald's,168.9,43.6650808,-79.3192955,1.0,True,2.5,22,2022-12-05 11:45:57.198766-05:00,Seafood,,
"43.666224,-79.317693",Rice Rice Baby,235.6,43.667009,-79.3204135,3.0,True,5.0,2,2022-12-05 11:45:57.198768-05:00,Tapas/Small Plates,Pizza,Desserts
"43.666224,-79.317693",Simple Coffee,179.6,43.66681639999999,-79.3156156,3.0,True,4.5,2,2022-12-05 11:45:57.198771-05:00,Breakfast & Brunch,Mexican,
"43.666224,-79.317693",Harvey's,211.6,43.66646,-79.31506,2.0,True,2.5,15,2022-12-05 11:45:57.198773-05:00,Museums,,
"43.666224,-79.317693",Pizza Nova,102.4,43.6665095828238,-79.3164825439453,3.0,True,2.5,3,2022-12-05 11:45:57.198775-05:00,Dog Parks,Swimming Pools,
"43.666224,-79.317693",Southern Smoke Truck,352.6,43.6709060668945,-79.3162689208984,3.0,True,3.0,2,2022-12-05 11:45:57.198777-05:00,Ramen,Noodles,
"43.666224,-79.317693",Pachira Asian Cuisine,72.4,43.66649,-79.31686,1.0,True,1.0,1,2022-12-05 11:45:57.198780-05:00,Vietnamese,,
"43.666224,-79.317693",Jonathan Ashbridge Park,258.5,43.6653786,-79.3198166,3.0,True,2.0,1,2022-12-05 11:45:57.198782-05:00,Cafes,,
"43.653236,-79.376716",Richmond Station,292.6,43.6513729,-79.379285,,True,4.5,856,2022-12-05 11:45:57.669418-05:00,Burgers,,
"43.653236,-79.376716",Pearl Diver,300.8,43.65163,-79.37375,2.0,True,4.0,615,2022-12-05 11:45:57.669439-05:00,Chicken Shop,,
"43.653236,-79.376716",George Restaurant,192.6,43.65337263523713,-79.37432933100068,4.0,True,4.5,291,2022-12-05 11:45:57.669445-05:00,Burgers,,
"43.653236,-79.376716",Fahrenheit Coffee,316.9,43.65244524304,-79.372932326803,2.0,True,4.5,336,2022-12-05 11:45:57.669451-05:00,Canadian (New),,
"43.653236,-79.376716",The Carbon Bar,155.3,43.6531872633836,-79.3747868765724,,True,4.0,404,2022-12-05 11:45:57.669456-05:00,Japanese,Sushi Bars,Tapas/Small Plates
"43.653236,-79.376716",Hokkaido Ramen Santouka,348.9,43.656321731393,-79.377499580039,2.0,True,4.0,881,2022-12-05 11:45:57.669462-05:00,Ramen,Noodles,
"43.653236,-79.376716",Mystic Muffin,346.2,43.652457948594,-79.372548881465,1.0,True,4.5,287,2022-12-05 11:45:57.669467-05:00,Chinese,Noodles,
"43.653236,-79.376716",The Senator,334.1,43.65574,-79.37896,2.0,True,4.0,488,2022-12-05 11:45:57.669472-05:00,Bakeries,Korean,
"43.653236,-79.376716",Dineen Coffee,293.5,43.6511564283768,-79.3789627552706,2.0,True,4.0,383,2022-12-05 11:45:57.669477-05:00,Sandwiches,,
"43.653236,-79.376716",Terroni,270.4,43.6508,-79.3756,2.0,True,3.5,760,2022-12-05 11:45:57.669482-05:00,Seafood,,
"43.653236,-79.376716",The Poke Box,294.6,43.6505,-79.37657,2.0,True,4.5,175,2022-12-05 11:45:57.669487-05:00,Tapas/Small Plates,Pizza,Desserts
"43.653236,-79.376716",Gyu-Kaku Japanese BBQ,233.8,43.6515,-79.37482,,True,4.0,200,2022-12-05 11:45:57.669492-05:00,Breakfast & Brunch,Mexican,
"43.653236,-79.376716",The Chase,317.8,43.6510568545686,-79.379271238786,,True,3.5,420,2022-12-05 11:45:57.669497-05:00,Museums,,
"43.653236,-79.376716",Versus Coffee,248.5,43.6512075713649,-79.3754209277222,2.0,True,4.5,115,2022-12-05 11:45:57.669502-05:00,Dog Parks,Swimming Pools,
"43.653236,-79.376716",Carisma,331.3,43.65032,-79.37596,,True,4.0,194,2022-12-05 11:45:57.669507-05:00,Ramen,Noodles,
"43.653236,-79.376716",Bob's Bulgogi,137.6,43.652139,-79.377507,1.0,True,4.0,84,2022-12-05 11:45:57.669512-05:00,Vietnamese,,
"43.653236,-79.376716",Nami Restaurant,272.1,43.650977509378,-79.3754126895,,True,3.5,181,2022-12-05 11:45:57.669516-05:00,Cafes,,
"43.653236,-79.376716",J San Sushi Bar,375.6,43.6561276,-79.3745768,3.0,True,4.5,74,2022-12-05 11:45:57.669522-05:00,Ice Cream & Frozen Yogurt,,
"43.653236,-79.376716",Sud Forno,307.0,43.650916340102,-79.3787852302194,2.0,True,3.5,173,2022-12-05 11:45:57.669526-05:00,Mexican,,
"43.653236,-79.376716",Paramount Middle Eastern Kitchen,332.5,43.65508,-79.37997,2.0,True,3.0,377,2022-12-05 11:45:57.669532-05:00,Gluten-Free,Bakeries,Custom Cakes
"43.653236,-79.376716",Trattoria Mercatto,285.9,43.65367,-79.38007,2.0,True,3.5,222,2022-12-05 11:45:57.669536-05:00,Caterers,Bakeries,Desserts
"43.653236,-79.376716",Leña Restaurante,320.9,43.6517399,-79.38026,,True,3.5,275,2022-12-05 11:45:57.669541-05:00,Pizza,,
"43.653236,-79.376716",La Bettola Di Terroni,165.8,43.652094784779315,-79.37804176337187,2.0,True,3.5,148,2022-12-05 11:45:57.669547-05:00,Pizza,Salad,Fast Food
"43.653236,-79.376716",Mast Coffee,213.8,43.6550400866932,-79.375796456,1.0,True,4.5,31,2022-12-05 11:45:57.669551-05:00,Pizza,Salad,Fast Food
"43.653236,-79.376716",Hendriks Restaurant & Bar,269.7,43.653501,-79.380048,,True,4.0,109,2022-12-05 11:45:57.669556-05:00,Cafes,,
"43.653236,-79.376716",Sunset Grill,290.6,43.65138,-79.37925,2.0,True,3.5,153,2022-12-05 11:45:57.669562-05:00,Sushi Bars,,
"43.653236,-79.376716",The 3 Brewers,393.1,43.65551,-79.38027,2.0,True,3.0,298,2022-12-05 11:45:57.669567-05:00,Golf,,
"43.653236,-79.376716",CRAFT Beer Market,359.6,43.650159,-79.378093,2.0,True,3.5,174,2022-12-05 11:45:57.669575-05:00,Filipino,,
"43.653236,-79.376716",Fran's Restaurant,228.8,43.6543965446037,-79.3790650246736,2.0,True,3.0,223,2022-12-05 11:45:57.669580-05:00,Venezuelan,Breakfast & Brunch,
"43.653236,-79.376716",Planta Burger,307.6,43.65115,-79.37929,2.0,True,3.5,84,2022-12-05 11:45:57.669585-05:00,Middle Eastern,Diners,Breakfast & Brunch
"43.653236,-79.376716",AAA Bar,355.7,43.65178,-79.37272,2.0,True,3.5,122,2022-12-05 11:45:57.669590-05:00,Comfort Food,Bars,Canadian (New)
"43.653236,-79.376716",Jesus Guy at Dundas Square,481.1,43.6563416,-79.3809433,3.0,True,4.5,72,2022-12-05 11:45:57.669595-05:00,Barbeque,Japanese,
"43.653236,-79.376716",Imperial Pub,384.7,43.6563327,-79.3788469,2.0,True,3.5,155,2022-12-05 11:45:57.669601-05:00,Barbeque,Japanese,
