lat-long,name,distance,latitude,longitude,address,price,is_closed,rating,rating_count,my_timestamp,cat1_alias,cat1_title,cat2_alias,cat2_title,cat3_alias,cat3_title
"43.665269,-79.319796",The Burger's Priest,374.2380726403347,43.666699590075,-79.3155846030585,"['1636 Queen Street E', 'Toronto, ON M4L 1G3', 'Canada']",$$,False,3.5,498,2022-12-05 04:14:43.742563,burgers,Burgers,,,,
"43.665269,-79.319796",Chick-N-Joy,125.48313239918345,43.66509,-79.32132,"['1483 Queen Street E', 'Toronto, ON M4L 1E2', 'Canada']",$,False,4.0,54,2022-12-05 04:14:43.742587,chickenshop,Chicken Shop,,,,
"43.665269,-79.319796",O Sushi,277.56958241445363,43.66654,-79.31693,"['6 Coxwell Avenue', 'Toronto, ON M4L 3A7', 'Canada']",$$,False,4.0,57,2022-12-05 04:14:43.742593,burgers,Burgers,,,,
"43.665269,-79.319796",Jaclyn's,172.37513361109032,43.66627,-79.31802,"['1588 Queen Street E', 'Toronto, ON M4L 1G1', 'Canada']",,False,4.5,14,2022-12-05 04:14:43.742599,newcanadian,Canadian (New),,,,
"43.665269,-79.319796",Burrito Bandidos,286.2490649948758,43.6665611,-79.3164215,"['1614 Queen Street E', 'Toronto, ON M4L 1G4', 'Canada']",$$,False,3.5,57,2022-12-05 04:14:43.742604,japanese,Japanese,sushi,Sushi Bars,tapasmallplates,Tapas/Small Plates
"43.665269,-79.319796",Dulcinella,308.88424174869004,43.66665,-79.3165,"['7 Coxwell Avenue', 'Toronto, ON M4L 3A8', 'Canada']",,False,5.0,7,2022-12-05 04:14:43.742609,ramen,Ramen,noodles,Noodles,,
"43.665269,-79.319796",McDonald's,64.24127334717444,43.6650808,-79.3192955,"['29-31 Woodward Avenue', 'Toronto, ON M4L 2Y5', 'Canada']",$,False,2.5,22,2022-12-05 04:14:43.742615,chinese,Chinese,noodles,Noodles,,
"43.665269,-79.319796",Rice Rice Baby,199.75263086292173,43.667009,-79.3204135,"['Toronto, ON M5A 1P2', 'Canada']",,False,5.0,2,2022-12-05 04:14:43.742619,bakeries,Bakeries,korean,Korean,,
"43.665269,-79.319796",Butter Chicken Roti,269.8924212338174,43.6663972918034,-79.316825196147,"['1610 Queen Street E', 'Toronto, ON M4L 1G2', 'Canada']",,False,2.5,13,2022-12-05 04:14:43.742625,sandwiches,Sandwiches,,,,
"43.665269,-79.319796",Simple Coffee,377.71945333078975,43.66681639999999,-79.3156156,"['1636 Queen Street E', 'Toronto, ON M4L 1G3', 'Canada']",,False,4.5,2,2022-12-05 04:14:43.742630,seafood,Seafood,,,,
"43.665269,-79.319796",Ashbridge Estate,235.47908014792085,43.66527,-79.32273,"['1444 Queen St E', 'Toronto, ON M4L', 'Canada']",,False,5.0,1,2022-12-05 04:14:43.742635,tapasmallplates,Tapas/Small Plates,pizza,Pizza,desserts,Desserts
"43.665269,-79.319796",Pizza Nova,300.104258992041,43.6665095828238,-79.3164825439453,"['1614 Queen Street E', 'Toronto, ON M4L 1G4', 'Canada']",,False,2.5,3,2022-12-05 04:14:43.742639,breakfast_brunch,Breakfast & Brunch,mexican,Mexican,,
"43.665269,-79.319796",Ashbridges Bay Skate Park,393.91144776868924,43.6627803414137,-79.3163108825684,"['Southwest Corner Coxwell & Lakeshore', 'Toronto, ON M4L', 'Canada']",,False,3.5,2,2022-12-05 04:14:43.742644,museums,Museums,,,,
"43.665269,-79.319796",Jonathan Ashbridge Park,73.30800846501171,43.6653786,-79.3198166,"['1515 Queen Street E', 'Toronto, ON M6R 1A5', 'Canada']",,False,2.0,1,2022-12-05 04:14:43.742649,dog_parks,Dog Parks,swimmingpools,Swimming Pools,,
"43.665269,-79.319796",Pachira Asian Cuisine,270.47969701696985,43.66649,-79.31686,"['1610 Queen Street E', 'Toronto, ON M4L 1G2', 'Canada']",$,False,1.0,1,2022-12-05 04:14:43.742654,ramen,Ramen,noodles,Noodles,,
"43.67142,-79.445947",Love Chix,292.2904736197312,43.6696641,-79.4486514,"['33 Powerhouse Street', 'Toronto, ON M6H 4K7', 'Canada']",$$,False,3.5,46,2022-12-05 04:14:44.151727,burgers,Burgers,,,,
"43.67142,-79.445947",Balzac's Coffee Roasters,261.708842543021,43.670364,-79.448855,"['29 Powerhouse Street', 'Toronto, ON M6H 0C7', 'Canada']",$$,False,4.0,17,2022-12-05 04:14:44.151757,chickenshop,Chicken Shop,,,,
"43.67142,-79.445947",Century Park Tavern,299.6021921678177,43.6696641,-79.44877238227583,"['33 Powerhouse Street', 'Toronto, ON M6H 4K7', 'Canada']",,False,4.0,1,2022-12-05 04:14:44.151763,burgers,Burgers,,,,
"43.67142,-79.445947",The Morning Star Restaurant,384.73348615765747,43.66923,-79.4422,"['310 Geary Avenue', 'Toronto, ON M6H 2C5', 'Canada']",$,False,2.5,2,2022-12-05 04:14:44.151769,newcanadian,Canadian (New),,,,
"43.666224,-79.317693",The Burger's Priest,177.64325975172713,43.666699590075,-79.3155846030585,"['1636 Queen Street E', 'Toronto, ON M4L 1G3', 'Canada']",$$,False,3.5,498,2022-12-05 04:14:44.573853,burgers,Burgers,,,,
"43.666224,-79.317693",O Sushi,78.63482295741966,43.66654,-79.31693,"['6 Coxwell Avenue', 'Toronto, ON M4L 3A7', 'Canada']",$$,False,4.0,57,2022-12-05 04:14:44.573903,chickenshop,Chicken Shop,,,,
